index,data
581,-0.965
582,-0.97
583,-0.965
584,-0.9675
585,-0.97
586,-0.97
587,-0.9675
588,-0.97
589,-0.9675
590,-0.97
591,-0.97
592,-0.9625
593,-0.9475
594,-0.9175
595,-0.8625
596,-0.795
597,-0.73
598,-0.665
599,-0.6075
600,-0.59
601,-0.5775
602,-0.565
603,-0.5425
604,-0.525
605,-0.4725
606,-0.4025
607,-0.35
608,-0.325
609,-0.31
610,-0.31
611,-0.31
612,-0.31
613,-0.2775
614,-0.0375
615,0.0825
616,0.09
617,0.085
618,0.0825
619,0.0825
620,0.09
621,0.0875
622,0.09
623,0.085
624,0.0875
625,0.0875
626,0.0875
627,0.0875
628,0.085
629,0.0875
630,0.085
631,0.09
632,0.08
633,0.08
634,0.085
635,0.0975
636,0.095
637,0.1
638,0.1
639,0.1025
640,0.1125
641,0.135
642,0.14
643,0.15
644,0.1525
645,0.15
646,0.15
647,0.1525
648,0.15
649,0.15
650,0.14
651,0.15
652,0.15
653,0.145
654,0.0975
655,0.0925
656,0.09
657,0.095
658,0.0925
659,0.09
660,0.09
661,0.09
662,0.0925
663,0.0925
664,0.09
665,0.0925
666,0.095
667,0.09
668,0.09
669,0.0975
670,0.09
671,0.09
672,0.0925
673,0.09
674,0.09
675,0.09
676,0.0975
677,0.095
678,0.095
679,0.0925
680,0.09
681,0.11
682,0.145
683,0.15
684,0.1525
685,0.15
686,0.125
687,0.0925
688,0.09
689,0.09
690,0.085
691,0.0875
692,0.0875
693,0.0875
694,0.09
695,0.085
696,0.09
697,0.14
698,0.185
699,0.2125
700,0.235
701,0.2225
702,0.145
703,0.0875
704,0.085
705,0.09
706,0.085
707,0.0825
708,0.09
709,0.08
710,0.0825
711,0.08
712,0.1275
713,0.1875
714,0.215
715,0.225
716,0.1875
717,0.1125
718,0.0825
719,0.09
720,0.09
721,0.0875
722,0.0875
723,0.0825
724,0.0825
725,0.0875
726,0.0825
727,0.0875
728,0.0775
729,0.09
730,0.0875
731,0.0925
732,0.0925
733,0.0825
734,0.08
735,0.0875
736,0.0875
737,0.0875
738,0.0875
739,0.085
740,0.085
741,0.085
742,0.0825
743,0.09
744,0.085
745,0.0825
746,0.0875
747,0.09
748,0.085
749,0.0825
750,0.0875
751,0.085
752,0.0825
753,0.0825
754,0.0825
755,0.08
756,0.0825
757,0.085
758,0.09
759,0.0875
760,0.085
761,0.085
762,0.085
763,0.0825
764,0.0825
765,0.0875
766,0.0875
767,0.09
768,0.085
769,0.09
770,0.085
771,0.085
772,0.08
773,0.0875
774,0.0875
775,0.09
776,0.09
777,0.09
778,0.085
779,0.0875
780,0.09
781,0.0825
782,0.085
783,0.085
784,0.0875
785,0.085
786,0.09
787,0.085
788,0.09
789,0.0825
790,0.09
791,0.0825
792,0.09
793,0.0675
794,0.025
795,-0.015
796,-0.0475
797,-0.0825
798,-0.1075
799,-0.13
800,-0.1475
801,-0.1725
802,-0.215
803,-0.235
804,-0.2625
805,-0.2875
806,-0.2975
807,-0.34
808,-0.3825
809,-0.4025
810,-0.435
811,-0.475
812,-0.495
813,-0.5175
814,-0.5475
815,-0.6
816,-0.62
817,-0.6575
818,-0.7
819,-0.72
820,-0.74
821,-0.735
822,-0.74
823,-0.7375
824,-0.74
825,-0.735
826,-0.7475
827,-0.7775
828,-0.8375
829,-0.875
830,-0.9175
831,-0.9325
832,-0.9475
833,-0.9475
834,-0.95
835,-0.9625
836,-0.9775
837,-0.975
838,-0.975
839,-0.975
840,-0.975
841,-0.975
842,-0.9725
843,-0.965
844,-0.955
845,-0.9375
846,-0.92
847,-0.875
848,-0.79
849,-0.5325
850,-0.0225
851,0.075
852,0.085
853,0.085
854,0.09
855,0.0875
856,0.0825
857,0.09
858,0.09
859,0.09
860,0.06
861,-0.03
862,-0.11
863,-0.1275
864,-0.115
865,-0.0375
866,0.0775
867,0.09
868,0.085
869,0.0875
870,0.09
871,0.09
872,0.09
873,0.0875
874,0.0275
875,-0.0925
876,-0.1625
877,-0.185
878,-0.2
879,-0.205
880,-0.21
881,-0.2025
882,-0.155
883,-0.02
884,0.0875
885,0.09
886,0.09
887,0.09
888,0.085
889,0.09
890,0.0925
891,0.09
892,0.08
893,0.09
894,0.09
895,0.085
896,0.0875
897,0.0875
898,0.0925
899,0.135
900,0.19
901,0.2475
902,0.28
903,0.29
904,0.25
905,0.185
906,0.1
907,0.09
908,0.09
909,0.09
910,0.09
911,0.09
912,0.09
913,0.09
914,0.09
915,0.085
916,0.085
917,0.085
918,0.0875
919,0.0875
920,0.0825
921,0.0875
922,0.0875
923,0.0825
924,0.0875
925,0.0875
926,0.085
927,0.085
928,0.09
929,0.075
930,-0.02
931,-0.1275
932,-0.2175
933,-0.2625
934,-0.2875
935,-0.2975
936,-0.3
937,-0.3
938,-0.31
939,-0.335
940,-0.35
941,-0.365
942,-0.3775
943,-0.395
944,-0.415
945,-0.43
946,-0.45
947,-0.4575
948,-0.485
949,-0.5
950,-0.51
951,-0.5125
952,-0.5275
953,-0.55
954,-0.565
955,-0.58
956,-0.595
957,-0.615
958,-0.645
959,-0.6925
960,-0.715
961,-0.715
962,-0.71
963,-0.715
964,-0.7225
965,-0.72
966,-0.72
967,-0.715
968,-0.5925
969,-0.4575
970,-0.335
971,-0.1875
972,-0.0575
973,0.0175
974,0.09
975,0.0875
976,0.09
977,0.09
978,0.0875
979,0.0875
980,0.09
981,0.09
982,0.0875
983,0.09
984,0.085
985,0.035
986,-0.005
987,-0.0625
988,-0.075
989,-0.05
990,0.065
991,0.0875
992,0.09
993,0.0925
994,0.085
995,0.085
996,0.085
997,0.09
998,0.0875
999,0.09
1000,0.0875
1001,0.085
1002,0.085
1003,0.09
1004,0.0875
1005,0.0875
1006,0.0825
1007,0.09
1008,0.0825
1009,0.085
1010,0.0775
1011,0.0875
1012,0.08
1013,0.0875
1014,0.085
1015,0.085
1016,0.085
1017,0.09
1018,0.065
1019,-0.0075
1020,-0.085
1021,-0.1475
1022,-0.22
1023,-0.31
1024,-0.3875
1025,-0.45
1026,-0.475
1027,-0.505
1028,-0.53
1029,-0.545
1030,-0.5525
1031,-0.55
1032,-0.55
1033,-0.55
1034,-0.53
1035,-0.515
1036,-0.4575
1037,-0.39
1038,-0.3275
1039,-0.2775
1040,-0.1725
1041,0.0375
1042,0.0775
1043,0.0825
1044,0.09
1045,0.09
1046,0.09
1047,0.09
1048,0.1175
1049,0.1875
1050,0.2675
1051,0.3525
1052,0.4125
1053,0.48
1054,0.525
1055,0.575
1056,0.605
1057,0.6175
1058,0.6425
1059,0.66
1060,0.68
1061,0.685
1062,0.695
1063,0.7
1064,0.7025
1065,0.71
1066,0.705
1067,0.7075
1068,0.705
1069,0.6975
1070,0.6725
1071,0.63
1072,0.595
1073,0.5375
1074,0.405
1075,0.205
1076,0.0925
1077,0.09
1078,0.09
1079,0.09
1080,0.0925
1081,0.09
1082,0.09
1083,0.0975
1084,0.09
1085,0.09
1086,0.0925
1087,0.095
1088,0.095
1089,0.0975
1090,0.095
1091,0.085
1092,0.08
1093,0.07
1094,0.01
1095,-0.0475
1096,-0.115
1097,-0.1925
1098,-0.2525
1099,-0.305
1100,-0.345
1101,-0.39
1102,-0.445
1103,-0.4875
1104,-0.53
1105,-0.5675
1106,-0.5975
1107,-0.6425
1108,-0.69
1109,-0.7325
1110,-0.7575
1111,-0.7925
1112,-0.81
1113,-0.8225
1114,-0.83
1115,-0.8275
1116,-0.835
1117,-0.85
1118,-0.8475
1119,-0.8475
1120,-0.855
1121,-0.86
1122,-0.855
1123,-0.8575
1124,-0.855
1125,-0.8525
1126,-0.8225
1127,-0.7775
1128,-0.76
1129,-0.76
1130,-0.7425
1131,-0.7
1132,-0.61
1133,-0.51
1134,-0.3925
1135,-0.0875
1136,0.075
1137,0.09
1138,0.09
1139,0.0875
1140,0.0875
1141,0.09
1142,0.09
1143,0.09
1144,0.095
1145,0.09
1146,0.09
1147,0.09
1148,0.085
1149,0.09
1150,0.09
1151,0.09
1152,0.0875
1153,0.0825
1154,0.09
1155,0.09
1156,0.0825
1157,0.09
1158,0.09
1159,0.05
1160,-0.0275
1161,-0.105
1162,-0.145
1163,-0.1525
1164,-0.105
1165,0.05
1166,0.085
1167,0.0875
1168,0.0875
1169,0.085
1170,0.0875
1171,0.08
1172,0.0875
1173,0.05
1174,-0.0225
1175,-0.085
1176,-0.1
1177,-0.1
1178,-0.1
1179,-0.1175
1180,-0.155
1181,-0.2225
1182,-0.2825
1183,-0.3725
1184,-0.4475
1185,-0.5175
1186,-0.565
1187,-0.64
1188,-0.725
1189,-0.82
1190,-0.8825
1191,-0.9375
1192,-0.955
1193,-0.96
1194,-0.96
1195,-0.96
1196,-0.96
1197,-0.965
1198,-0.965
1199,-0.9625
1200,-0.96
1201,-0.9675
1202,-0.97
1203,-0.965
1204,-0.96
1205,-0.96
1206,-0.9625
1207,-0.9675
1208,-0.955
1209,-0.925
1210,-0.82
1211,-0.6025
1212,-0.4325
1213,-0.225
1214,0.0575
1215,0.0825
1216,0.0875
1217,0.0825
1218,0.09
1219,0.085
1220,0.0825
1221,0.09
1222,0.085
1223,0.0875
1224,0.09
1225,0.08
1226,0.0875
1227,0.0875
1228,0.085
1229,0.09
1230,0.08
1231,0.0825
1232,0.0825
1233,0.085
1234,0.085
1235,0.0875
1236,0.085
1237,0.0825
1238,0.0875
1239,0.0825
1240,0.0825
1241,0.09
1242,0.08
1243,0.0825
1244,0.0875
1245,0.09
1246,0.0875
1247,0.0925
1248,0.0875
1249,0.085
1250,0.09
1251,0.085
1252,0.09
1253,0.085
1254,0.0875
1255,0.0825
1256,0.085
1257,0.085
1258,0.09
1259,0.09
1260,0.085
1261,0.0825
1262,0.085
1263,0.085
1264,0.0875
1265,0.0825
1266,0.0875
1267,0.09
1268,0.085
1269,0.0875
1270,0.08
1271,0.09
1272,0.105
1273,0.175
1274,0.26
1275,0.295
1276,0.285
1277,0.23
1278,0.135
1279,0.0825
1280,0.09
1281,0.09
1282,0.09
1283,0.09
1284,0.085
1285,0.09
1286,0.0875
1287,0.09
1288,0.09
1289,0.09
1290,0.09
1291,0.075
1292,0.0375
1293,-0.0525
1294,-0.1375
1295,-0.1625
1296,-0.135
1297,0.02
1298,0.085
1299,0.0925
1300,0.0875
1301,0.0875
1302,0.0875
1303,0.0875
1304,0.105
1305,0.165
1306,0.2
1307,0.205
1308,0.19
1309,0.1025
1310,0.0825
1311,0.0875
1312,0.085
1313,0.0825
1314,0.085
1315,0.09
1316,0.0875
1317,0.085
1318,0.09
1319,0.085
1320,0.09
1321,0.0925
1322,0.09
1323,0.085
1324,0.0825
1325,0.0875
1326,0.0925
1327,0.1475
1328,0.17
1329,0.1925
1330,0.205
1331,0.22
1332,0.225
1333,0.1675
1334,0.0975
1335,0.085
1336,0.09
1337,0.09
1338,0.0875
1339,0.085
1340,0.085
1341,0.0875
1342,0.085
1343,0.0725
1344,-0.01
1345,-0.1
1346,-0.1425
1347,-0.175
1348,-0.2125
1349,-0.2975
1350,-0.415
1351,-0.5075
1352,-0.6275
1353,-0.755
1354,-0.86
1355,-0.9525
1356,-0.9825
1357,-0.99
1358,-0.99
1359,-0.9975
1360,-0.99
1361,-0.995
1362,-0.995
1363,-0.9975
1364,-0.99
1365,-0.99
1366,-0.9925
1367,-0.995
1368,-0.9925
1369,-0.9925
1370,-0.99
1371,-0.9925
1372,-0.9925
1373,-0.9925
1374,-0.99
1375,-0.9775
1376,-0.9625
1377,-0.95
1378,-0.95
1379,-0.9125
1380,-0.8475
1381,-0.65
1382,-0.23
1383,0.0025
1384,0.085
1385,0.08
1386,0.0875
1387,0.09
1388,0.0875
1389,0.09
1390,0.065
1391,-0.0725
1392,-0.23
1393,-0.28
1394,-0.2825
1395,-0.245
1396,-0.1075
1397,0.055
1398,0.09
1399,0.09
1400,0.0825
1401,0.0875
1402,0.0825
1403,0.0825
1404,0.0
1405,-0.115
1406,-0.1775
1407,-0.1925
1408,-0.1825
1409,-0.1575
1410,-0.1175
1411,-0.05
1412,0.04
1413,0.08
1414,0.08
1415,0.08
1416,0.09
1417,0.0825
1418,0.0875
1419,0.0875
1420,0.085
1421,0.0825
1422,0.085
1423,0.105
1424,0.155
1425,0.2225
1426,0.2775
1427,0.3175
1428,0.3475
1429,0.39
1430,0.425
1431,0.44
1432,0.43
1433,0.3725
1434,0.2025
1435,0.0925
1436,0.08
1437,0.085
1438,0.0875
1439,0.085
1440,0.0875
1441,0.0875
1442,0.085
1443,0.085
1444,0.085
1445,0.085
1446,0.0875
1447,0.09
1448,0.085
1449,0.085
1450,0.085
1451,0.0875
1452,0.0225
1453,-0.0575
1454,-0.125
1455,-0.1875
1456,-0.25
1457,-0.315
1458,-0.4025
1459,-0.47
1460,-0.5075
1461,-0.56
1462,-0.595
1463,-0.625
1464,-0.655
1465,-0.68
1466,-0.6925
1467,-0.6975
1468,-0.6975
1469,-0.695
1470,-0.7075
1471,-0.71
1472,-0.72
1473,-0.735
1474,-0.7475
1475,-0.76
1476,-0.7825
1477,-0.8
1478,-0.805
1479,-0.8
1480,-0.805
1481,-0.805
1482,-0.8075
1483,-0.8075
1484,-0.81
1485,-0.81
1486,-0.8
1487,-0.77
1488,-0.6675
1489,-0.4625
1490,-0.2
1491,-0.02
1492,0.0875
1493,0.085
1494,0.08
1495,0.08
1496,0.0875
1497,0.1
1498,0.12
1499,0.1575
1500,0.185
1501,0.1825
1502,0.16
1503,0.09
1504,0.09
1505,0.0825
1506,0.0425
1507,-0.0525
1508,-0.14
1509,-0.1625
1510,-0.1875
1511,-0.205
1512,-0.205
1513,-0.17
1514,-0.04
1515,0.0775
1516,0.08
1517,0.08
1518,0.0825
1519,0.085
1520,0.08
1521,0.08
1522,0.08
1523,0.05
1524,-0.07
1525,-0.135
1526,-0.145
1527,-0.0975
1528,0.065
1529,0.09
1530,0.09
1531,0.0825
1532,0.0875
1533,0.11
1534,0.165
1535,0.195
1536,0.175
1537,0.0975
1538,0.085
1539,0.0875
1540,0.085
1541,0.085
1542,0.0225
1543,-0.105
1544,-0.1875
1545,-0.2225
1546,-0.22
1547,-0.235
1548,-0.245
1549,-0.2675
1550,-0.355
1551,-0.385
1552,-0.4
1553,-0.42
1554,-0.4325
1555,-0.44
1556,-0.44
1557,-0.4375
1558,-0.435
1559,-0.44
1560,-0.44
1561,-0.4375
1562,-0.345
1563,-0.1875
1564,0.0475
1565,0.0825
1566,0.0825
1567,0.0825
1568,0.0875
1569,0.0875
1570,0.1
1571,0.125
1572,0.185
1573,0.2625
1574,0.325
1575,0.365
1576,0.41
1577,0.465
1578,0.4925
1579,0.515
1580,0.53
1581,0.535
1582,0.555
1583,0.555
1584,0.5525
1585,0.525
1586,0.51
1587,0.495
1588,0.445
1589,0.3325
1590,0.115
1591,0.0875
1592,0.09
1593,0.09
1594,0.1
1595,0.1675
1596,0.2675
1597,0.36
1598,0.3925
1599,0.425
1600,0.435
1601,0.425
1602,0.3675
1603,0.2825
1604,0.1425
1605,0.0825
1606,0.0875
1607,0.085
1608,0.09
1609,0.0875
1610,0.0875
1611,0.085
1612,0.09
1613,0.0825
1614,0.085
1615,0.0575
1616,-0.015
1617,-0.14
1618,-0.2775
1619,-0.425
1620,-0.5375
1621,-0.665
1622,-0.785
1623,-0.87
1624,-0.91
1625,-0.935
1626,-0.9475
1627,-0.95
1628,-0.975
1629,-0.985
1630,-0.98
1631,-0.98
1632,-0.98
1633,-0.98
1634,-0.9825
1635,-0.98
1636,-0.98
1637,-0.985
1638,-0.98
1639,-0.98
1640,-0.9775
1641,-0.9775
1642,-0.965
1643,-0.94
1644,-0.895
1645,-0.84
1646,-0.7675
1647,-0.63
1648,-0.1175
1649,0.0225
1650,0.0825
1651,0.085
1652,0.09
1653,0.0875
1654,0.09
1655,0.085
1656,0.0875
1657,0.085
1658,0.09
1659,0.0875
1660,0.0875
1661,0.0875
1662,0.0875
1663,0.085
1664,0.0575
1665,-0.045
1666,-0.11
1667,-0.115
1668,-0.11
1669,-0.0025
1670,0.09
1671,0.09
1672,0.0875
1673,0.0825
1674,0.09
1675,0.09
1676,0.065
1677,0.0
1678,-0.0475
1679,-0.0775
1680,-0.0975
1681,-0.13
1682,-0.165
1683,-0.1825
1684,-0.2075
1685,-0.21
1686,-0.21
1687,-0.2025
1688,-0.21
1689,-0.2525
1690,-0.3
1691,-0.32
1692,-0.3225
1693,-0.32
1694,-0.3275
1695,-0.305
1696,-0.31
1697,-0.31
1698,-0.31
1699,-0.31
1700,-0.3025
1701,-0.3175
1702,-0.33
1703,-0.39
1704,-0.4575
1705,-0.5075
1706,-0.5375
1707,-0.5475
1708,-0.5775
1709,-0.6125
1710,-0.6425
1711,-0.68
1712,-0.705
1713,-0.7225
1714,-0.7375
1715,-0.7425
1716,-0.745
1717,-0.7425
1718,-0.7425
1719,-0.7425
1720,-0.74
1721,-0.745
1722,-0.7225
1723,-0.6575
1724,-0.6025
1725,-0.535
1726,-0.44
1727,-0.3575
1728,-0.1925
1729,-0.04
1730,0.0775
1731,0.09
1732,0.0975
1733,0.1
1734,0.135
1735,0.1775
1736,0.2
1737,0.2125
1738,0.2325
1739,0.24
1740,0.24
1741,0.24
1742,0.275
1743,0.285
1744,0.2825
1745,0.23
1746,0.1325
1747,0.0925
1748,0.09
1749,0.09
1750,0.09
1751,0.09
1752,0.09
1753,0.09
1754,0.09
1755,0.09
1756,0.0925
1757,0.09
1758,0.08
1759,0.0625
1760,0.005
1761,-0.04
1762,-0.065
1763,-0.055
1764,0.025
1765,0.09
1766,0.0875
1767,0.0875
1768,0.08
1769,0.09
1770,0.0875
1771,0.085
1772,0.085
1773,0.095
1774,0.1075
1775,0.13
1776,0.155
1777,0.1775
1778,0.1825
1779,0.175
1780,0.1175
1781,0.0825
1782,0.09
1783,0.0875
1784,0.0875
1785,0.09
1786,0.085
1787,0.085
1788,0.09
1789,0.0825
1790,0.0875
1791,0.0825
1792,0.085
1793,0.0875
1794,0.085
1795,0.08
1796,0.085
1797,0.0875
1798,0.0325
1799,-0.0275
1800,-0.0675
1801,-0.0725
1802,-0.045
1803,0.055
1804,0.0925
1805,0.085
1806,0.085
1807,0.085
1808,0.08
1809,0.0875
1810,0.085
1811,0.0875
1812,0.09
1813,0.0925
1814,0.11
1815,0.12
1816,0.145
1817,0.16
1818,0.17
1819,0.1675
1820,0.13
1821,0.0875
1822,0.0875
1823,0.0875
1824,0.0825
1825,0.0875
1826,0.0825
1827,0.085
1828,0.085
1829,0.09
1830,0.0825
1831,0.08
1832,0.0825
1833,0.09
1834,0.0875
1835,0.0875
1836,0.0825
1837,0.0825
1838,0.085
1839,0.09
1840,0.085
1841,0.0825
1842,0.075
1843,0.0725
1844,0.0725
1845,0.07
1846,0.045
1847,0.03
1848,0.0125
1849,-0.03
1850,-0.065
1851,-0.0725
1852,-0.08
1853,-0.09
1854,-0.0925
1855,-0.1325
1856,-0.175
1857,-0.225
1858,-0.2825
1859,-0.355
1860,-0.395
1861,-0.46
1862,-0.5
1863,-0.5525
1864,-0.62
1865,-0.695
1866,-0.785
1867,-0.845
1868,-0.91
1869,-0.955
1870,-0.9675
1871,-0.9625
1872,-0.965
1873,-0.9725
1874,-0.98
1875,-0.975
1876,-0.98
1877,-0.97
1878,-0.975
1879,-0.98
1880,-0.975
1881,-0.9725
1882,-0.9775
1883,-0.975
1884,-0.97
1885,-0.96
1886,-0.97
1887,-0.955
1888,-0.91
1889,-0.8375
1890,-0.7675
1891,-0.705
1892,-0.67
1893,-0.655
1894,-0.6325
1895,-0.625
1896,-0.62
1897,-0.6175
1898,-0.59
1899,-0.5125
1900,-0.3925
1901,-0.125
1902,0.0575
1903,0.08
1904,0.085
1905,0.08
1906,0.085
1907,0.09
1908,0.0975
1909,0.0975
1910,0.1175
1911,0.1775
1912,0.2175
1913,0.265
1914,0.3175
1915,0.33
1916,0.325
1917,0.33
1918,0.33
1919,0.3425
1920,0.3325
1921,0.345
1922,0.34
1923,0.34
1924,0.34
